,list_price,property_id,price_reduced_amount,description.year_built,description.sold_price,description.lot_sqft,description.sqft,description.stories,description.beds,description.type,location.address.state,location.address.state_code,basement,big_lot,big_yard,carport,central_air,central_heat,city_view,community_outdoor_space,community_security_features,community_swimming_pool,corner_lot,dining_room,dishwasher,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,groundscare,hardwood_floors,high_ceiling,hill_or_mountain_view,laundry_room,modern_kitchen,new_roof,open_floor_plan,park,ranch,recreation_facilities,rental_property,shopping,single_story,trails,two_or_more_stories,updated_kitchen,view,views,washer_dryer,mean,median,std
0,334900.0,3300959879,,2001.0,345000,22651.0,1539.0,1.0,3.0,single_family,Pennsylvania,PA,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,238074.2857142860,229497.5,133706.45146947500
1,185000.0,3149247078,,1900.0,196000,2614.0,2429.0,,3.0,multi_family,Pennsylvania,PA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
2,197000.0,4686076173,,1971.0,205000,13504.0,1120.0,1.0,3.0,single_family,Pennsylvania,PA,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,238074.2857142860,229497.5,133706.45146947500
3,295000.0,4085014275,,2013.0,295000,2688.0,2400.0,2.0,3.0,townhomes,Pennsylvania,PA,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
4,105000.0,3743385520,,1900.0,106000,871.0,1478.0,,3.0,multi_family,Pennsylvania,PA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
5,30000.0,3114440688,,1900.0,10000,871.0,1608.0,3.0,5.0,townhomes,Pennsylvania,PA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
6,77900.0,4688508609,2000.0,1900.0,71500,871.0,1528.0,3.0,4.0,townhomes,Pennsylvania,PA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
7,139900.0,3523646630,2100.0,1940.0,100000,3920.0,728.0,1.0,2.0,single_family,Pennsylvania,PA,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
8,208000.0,3483921135,,1957.0,208000,8712.0,1092.0,2.0,3.0,single_family,Pennsylvania,PA,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
9,25000.0,3092875659,,,28000,15682.0,,,,land,Pennsylvania,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
