,description.sold_price,description.lot_sqft,description.sqft,description.beds,basement,big_lot,big_yard,carport,central_air,central_heat,city_view,community_outdoor_space,community_security_features,community_swimming_pool,corner_lot,dining_room,dishwasher,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,groundscare,hardwood_floors,high_ceiling,hill_or_mountain_view,laundry_room,modern_kitchen,new_roof,open_floor_plan,park,ranch,recreation_facilities,rental_property,shopping,single_story,trails,two_or_more_stories,updated_kitchen,view,views,washer_dryer,city_mean,city_median,age,description.type_apartment,description.type_condo,description.type_condo_townhome_rowhome_coop,description.type_condos,description.type_duplex_triplex,description.type_land,description.type_mobile,description.type_multi_family,description.type_other,description.type_single_family,description.type_townhomes
0,345000.0,22651.0,1539.0,3.0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,238074.285714286,229497.5,23,0,0,0,0,0,0,0,0,0,1,0
1,196000.0,2614.0,2429.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,238074.285714286,229497.5,124,0,0,0,0,0,0,0,1,0,0,0
2,205000.0,13504.0,1120.0,3.0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,238074.285714286,229497.5,53,0,0,0,0,0,0,0,0,0,1,0
3,295000.0,2688.0,2400.0,3.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,238074.285714286,229497.5,11,0,0,0,0,0,0,0,0,0,0,1
4,106000.0,871.0,1478.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238074.285714286,229497.5,124,0,0,0,0,0,0,0,1,0,0,0
5,10000.0,871.0,1608.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,238074.285714286,229497.5,124,0,0,0,0,0,0,0,0,0,0,1
6,71500.0,871.0,1528.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,238074.285714286,229497.5,124,0,0,0,0,0,0,0,0,0,0,1
7,100000.0,3920.0,728.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,238074.285714286,229497.5,84,0,0,0,0,0,0,0,0,0,1,0
8,208000.0,8712.0,1092.0,3.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,238074.285714286,229497.5,67,0,0,0,0,0,0,0,0,0,1,0
10,346000.0,2370.0,1848.0,3.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,238074.285714286,229497.5,5,0,0,0,0,0,0,0,0,0,0,1
11,219900.0,29621.0,2966.0,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,238074.285714286,229497.5,149,0,0,0,0,0,0,0,0,0,1,0
12,195000.0,13504.0,1502.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,238074.285714286,229497.5,86,0,0,0,0,0,0,0,0,0,1,0
13,270000.0,8276.0,1486.0,3.0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,238074.285714286,229497.5,59,0,0,0,0,0,0,0,0,0,1,0
