,0
baseball,15
basement,3363
basketball,69
basketball_court,69
beach,55
beautiful_backyard,44
big_bathroom,98
big_lot,1029
big_yard,560
boat_dock,5
carport,610
cathedral_ceiling,91
central_air,4229
central_heat,1496
city_view,1099
clubhouse,280
coffer_ceiling,45
community_boat_facilities,60
community_center,61
community_clubhouse,350
community_elevator,24
community_golf,131
community_gym,173
community_horse_facilities,5
community_outdoor_space,3585
community_park,183
community_security_features,1615
community_spa_or_hot_tub,85
community_swimming_pool,779
community_tennis_court,214
corner_lot,657
courtyard_entry,5
cul_de_sac,351
den_or_office,347
detached_guest_house,5
dining_room,1450
disability_features,367
dishwasher,3704
dual_master_bedroom,5
efficient,250
elevator,83
energy_efficient,521
ensuite,711
equestrian,10
exposed_brick,55
family_room,1186
farm,666
fenced_courtyard,10
fenced_yard,1122
fireplace,3426
first_floor_master_bedroom,8
fixer_upper,309
floor_plan,1057
forced_air,3207
front_porch,436
fruit_trees,82
furniture,55
game_room,40
garage_1_or_more,4749
garage_2_or_more,3264
garage_3_or_more,532
gated_community,132
golf_course,272
golf_course_lot_or_frontage,66
golf_course_view,60
gourmet_kitchen,119
granite_kitchen,263
greenbelt,90
greenhouse,10
groundscare,465
guest_house,46
guest_parking,25
handicap_access,25
hardwood_floors,2476
high_ceiling,519
hill_or_mountain_view,480
hoa,151
horse_facilities,25
horse_property,10
horse_stables,15
indoor_basketball_court,5
investment_opportunity,324
jack_and_jill_bathroom,57
kitchen_island,46
lake,344
lake_view,162
large_kitchen,325
large_porch,46
laundry_room,2248
library,131
low_hoa,11
maintenance,209
marina,64
master_bathroom,55
master_bedroom,396
master_suite,257
media_room,44
medicalcare,255
modern_kitchen,579
mountain_view,146
new_roof,849
no_hoa,155
ocean_view,42
open_floor_plan,607
open_house,58
open_kitchen,189
outbuilding,63
outdoor_kitchen,24
park,547
pets_allowed,304
playground,199
pond,126
private_backyard,254
private_bathroom,64
private_courtyard,47
private_parking,10
ranch,585
recreation_facilities,1942
rental_property,901
river_access,21
river_view,99
rv_or_boat_parking,202
rv_parking,93
screen_porch,25
security,134
senior_community,87
shopping,1894
single_story,3354
smart_homes,72
soccer,24
solar_panels,84
solar_system,151
spa_or_hot_tub,202
storm_shelter,47
swimming_pool,390
tennis,259
tennis_court,328
theater_room,15
trails,578
two_kitchen,5
two_master_suites,15
two_or_more_stories,3088
updated_kitchen,792
vaulted_ceiling,380
view,1602
views,495
volleyball,30
washer_dryer,2252
water_view,322
waterfront,231
well_water,20
white_kitchen,14
wine_cellar,15
wooded_land,46
wrap_around_porch,24
